Unnamed: 0,0
Airplane,cat
automobile,9
bird,8
cat,Airplane
deer,deer
dog,ship
ship,cat
truck,ship
8,dog
9,automobile
10,8
11,9
12,dog
13,ship
14,automobile
15,8
16,Airplane
17,Airplane
18,8
19,ship
20,deer
21,Airplane
22,Airplane
23,automobile
24,deer
25,ship
26,deer
27,bird
28,automobile
29,ship
30,ship
31,dog
32,bird
33,ship
34,9
35,truck
36,deer
37,9
38,automobile
39,dog
40,Airplane
41,ship
42,cat
43,ship
44,Airplane
45,9
46,dog
47,8
48,deer
49,ship
50,9
51,truck
52,ship
53,dog
54,8
55,8
56,bird
57,8
58,9
59,bird
60,truck
61,cat
62,deer
63,9
64,cat
65,bird
66,automobile
67,8
68,cat
69,8
70,cat
71,dog
72,8
73,8
74,Airplane
75,bird
76,9
77,automobile
78,cat
79,automobile
80,8
81,dog
82,automobile
83,Airplane
84,Airplane
85,9
86,Airplane
87,8
88,8
89,9
90,9
91,ship
92,8
93,ship
94,truck
95,cat
96,ship
97,Airplane
98,bird
99,truck
100,deer
101,deer
102,ship
103,ship
104,9
105,automobile
106,ship
107,ship
108,8
109,dog
110,ship
111,bird
112,deer
113,deer
114,9
115,deer
116,Airplane
117,bird
118,ship
119,dog
120,8
121,deer
122,9
123,bird
124,Airplane
125,automobile
126,8
127,dog
128,deer
129,9
130,deer
131,automobile
132,9
133,truck
134,automobile
135,bird
136,9
137,truck
138,ship
139,automobile
140,bird
141,bird
142,cat
143,cat
144,8
145,Airplane
146,cat
147,ship
148,dog
149,9
150,9
151,Airplane
152,8
153,Airplane
154,cat
155,dog
156,dog
157,9
158,cat
159,Airplane
160,Airplane
161,automobile
162,truck
163,ship
164,Airplane
165,truck
166,8
167,ship
168,truck
169,9
170,9
171,Airplane
172,automobile
173,8
174,9
175,9
176,8
177,cat
178,cat
179,Airplane
180,Airplane
181,truck
182,ship
183,Airplane
184,dog
185,8
186,ship
187,ship
188,9
189,Airplane
190,deer
191,cat
192,dog
193,dog
194,truck
195,ship
196,8
197,Airplane
198,cat
199,Airplane
200,cat
201,9
202,8
203,Airplane
204,automobile
205,dog
206,9
207,dog
208,truck
209,8
210,cat
211,automobile
212,8
213,9
214,9
215,cat
216,truck
217,9
218,Airplane
219,truck
220,bird
221,truck
222,9
223,ship
224,9
225,9
226,cat
227,dog
228,bird
229,bird
230,cat
231,automobile
232,ship
233,automobile
234,8
235,Airplane
236,ship
237,9
238,cat
239,cat
240,automobile
241,9
242,bird
243,8
244,Airplane
245,ship
246,truck
247,Airplane
248,bird
249,ship
250,Airplane
251,cat
252,ship
253,cat
254,deer
255,Airplane
256,ship
257,8
258,8
259,automobile
260,dog
261,automobile
262,bird
263,cat
264,Airplane
265,8
266,8
267,deer
268,truck
269,Airplane
270,bird
271,cat
272,ship
273,dog
274,9
275,cat
276,9
277,deer
278,bird
279,dog
280,9
281,dog
282,cat
283,automobile
284,9
285,9
286,8
287,8
288,bird
289,9
290,automobile
291,ship
292,dog
293,8
294,automobile
295,deer
296,ship
297,Airplane
298,Airplane
299,cat
300,ship
301,ship
302,bird
303,8
304,ship
305,automobile
306,bird
307,deer
308,automobile
309,ship
310,8
311,ship
312,Airplane
313,Airplane
314,cat
315,Airplane
316,bird
317,truck
318,dog
319,cat
320,dog
321,dog
322,ship
323,ship
324,ship
325,9
326,truck
327,deer
328,Airplane
329,bird
330,deer
331,9
332,ship
333,ship
334,ship
335,ship
336,cat
337,8
338,Airplane
339,truck
340,dog
341,dog
342,Airplane
343,cat
344,8
345,cat
346,truck
347,cat
348,8
349,9
350,9
351,automobile
352,9
353,bird
354,cat
355,bird
356,ship
357,cat
358,automobile
359,8
360,9
361,dog
362,8
363,Airplane
364,9
365,truck
366,truck
367,8
368,Airplane
369,deer
370,ship
371,truck
372,8
373,Airplane
374,8
375,truck
376,9
377,bird
378,8
379,ship
380,bird
381,9
382,Airplane
383,9
384,bird
385,Airplane
386,truck
387,ship
388,bird
389,cat
390,automobile
391,8
392,ship
393,dog
394,bird
395,ship
396,bird
397,cat
398,9
399,9
400,9
401,automobile
402,truck
403,Airplane
404,9
405,deer
406,Airplane
407,9
408,8
409,bird
410,ship
411,9
412,bird
413,ship
414,automobile
415,8
416,Airplane
417,automobile
418,automobile
419,truck
420,deer
421,ship
422,Airplane
423,cat
424,dog
425,8
426,dog
427,cat
428,ship
429,Airplane
430,automobile
431,dog
432,dog
433,cat
434,bird
435,truck
436,9
437,deer
438,cat
439,ship
440,ship
441,bird
442,9
443,8
444,dog
445,deer
446,dog
447,Airplane
448,truck
449,Airplane
450,truck
451,automobile
452,automobile
453,deer
454,9
455,bird
456,bird
457,automobile
458,ship
459,8
460,ship
461,ship
462,automobile
463,dog
464,9
465,deer
466,ship
467,8
468,deer
469,dog
470,deer
471,dog
472,8
473,bird
474,cat
475,truck
476,deer
477,Airplane
478,bird
479,truck
480,9
481,ship
482,Airplane
483,deer
484,9
485,9
486,9
487,9
488,8
489,Airplane
490,8
491,truck
492,Airplane
493,automobile
494,8
495,8
496,ship
497,bird
498,bird
499,Airplane
500,ship
501,ship
502,deer
503,ship
504,automobile
505,bird
506,9
507,truck
508,automobile
509,deer
510,Airplane
511,ship
512,ship
513,automobile
514,dog
515,9
516,8
517,9
518,9
519,8
520,8
521,Airplane
522,Airplane
523,9
524,Airplane
525,dog
526,cat
527,8
528,Airplane
529,deer
530,8
531,8
532,truck
533,Airplane
534,ship
535,ship
536,ship
537,cat
538,Airplane
539,9
540,9
541,8
542,ship
543,ship
544,dog
545,9
546,Airplane
547,cat
548,ship
549,dog
550,bird
551,bird
552,Airplane
553,cat
554,dog
555,bird
556,ship
557,deer
558,deer
559,dog
560,Airplane
561,truck
562,cat
563,ship
564,deer
565,8
566,9
567,truck
568,8
569,deer
570,ship
571,truck
572,9
573,ship
574,ship
575,dog
576,8
577,Airplane
578,truck
579,automobile
580,deer
581,truck
582,Airplane
583,bird
584,Airplane
585,Airplane
586,cat
587,truck
588,8
589,9
590,ship
591,automobile
592,bird
593,ship
594,Airplane
595,automobile
596,ship
597,dog
598,ship
599,ship
600,Airplane
601,dog
602,Airplane
603,cat
604,automobile
605,dog
606,automobile
607,dog
608,cat
609,9
610,ship
611,8
612,8
613,8
614,cat
615,8
616,ship
617,ship
618,8
619,automobile
620,truck
621,deer
622,automobile
623,bird
624,dog
625,automobile
626,9
627,deer
628,deer
629,truck
630,9
631,bird
632,ship
633,8
634,truck
635,bird
636,9
637,Airplane
638,Airplane
639,truck
640,ship
641,ship
642,8
643,deer
644,truck
645,9
646,dog
647,bird
648,bird
